"Nome","Último","Máxima","Mínima","Variação","Var. %","Vol.","Hora"
"Boeing","244,40","247,40","240,10","4,59","1,91%","11,14M","17:59:59"
"Chevron","163,87","166,13","163,30","1,53","0,94%","11,76M","17:59:59"
"Caterpillar","636,53","644,59","633,00","6,76","1,07%","1,93M","17:59:59"
"Microsoft","470,63","475,78","465,95","-6,55","-1,37%","22,31M","17:59:59"
"Walt Disney","112,99","113,22","111,61","0,17","0,15%","7,07M","17:59:59"
"Cisco","75,47","75,50","73,86","1,46","1,97%","17,53M","17:59:59"
"Goldman Sachs","938,15","949,94","931,00","-11,40","-1,20%","1,95M","17:59:59"
"JPMorgan","310,77","326,86","310,57","-13,72","-4,23%","18,66M","17:59:59"
"Coca-Cola","71,24","71,24","70,27","0,74","1,05%","17,76M","17:59:59"
"McDonald’s","309,44","309,66","305,20","2,69","0,88%","2,91M","17:59:59"
"Merck&Co","108,26","109,31","107,22","-0,93","-0,85%","9,03M","17:59:59"
"3M","169,42","170,40","167,79","1,48","0,88%","2,79M","17:59:59"
"Apple","261,05","261,81","258,39","0,80","0,31%","42,31M","17:59:59"
"Amazon.com","242,61","247,66","240,25","-3,86","-1,57%","31,62M","17:59:59"
"Amgen","324,30","327,75","319,79","-1,24","-0,38%","2,28M","17:59:59"
"NVIDIA","185,81","188,11","183,40","0,87","0,47%","156,58M","17:59:59"
"Sherwin-Williams","355,99","359,00","353,71","-1,64","-0,46%","1,79M","17:59:59"
"Walmart","120,36","120,51","117,73","2,39","2,03%","30,75M","17:59:59"
"Home Depot","379,74","380,18","370,82","4,80","1,28%","4,29M","17:59:59"
"IBM","303,16","312,81","301,87","-9,02","-2,89%","4,41M","17:59:59"
"Verizon","39,01","39,92","38,80","-0,84","-2,10%","36,85M","17:59:59"
"The Travelers","271,20","281,07","270,61","-9,29","-3,31%","1,96M","17:59:59"
"J&J","213,65","214,39","208,86","3,93","1,87%","10,66M","17:59:59"
"American Express","358,00","360,29","355,95","-1,59","-0,44%","3,74M","17:59:59"
"Honeywell","210,28","211,21","208,32","1,68","0,81%","4,07M","17:59:59"
"Salesforce Inc","241,04","260,91","240,36","-18,36","-7,08%","13,23M","17:59:59"
"Visa A","328,05","337,52","323,83","-15,15","-4,41%","20,1M","17:59:59"
"UnitedHealth","333,93","341,84","332,85","-6,58","-1,93%","5,41M","17:59:59"
"Nike","66,30","67,08","65,85","0,66","1,01%","13,21M","17:59:59"
"P&G","144,24","144,34","142,97","0,78","0,54%","8,53M","17:59:59"