"Código","Compra","Venda","Máxima","Mínima","Variação","Var. %","Hora"
"EUR/Dólar","1,1644","1,1646","1,1646","1,1643","0,0002","0,02%","20:18:24"
"GBP/Dólar","1,3425","1,3426","1,3428","1,3421","0,0004","0,03%","20:15:28"
"Dólar/JPY","159,14","159,17","159,18","159,09","0,05","0,03%","20:18:30"
"Dólar/CHF","0,8009","0,8010","0,8011","0,8007","-0,0001","-0,01%","20:16:10"
"AUD/Dólar","0,6685","0,6689","0,6688","0,6682","-0,0001","-0,01%","20:18:12"
"Dólar/CAD","1,3885","1,3887","1,3893","1,3884","-0,0003","-0,02%","20:13:46"
"NZD/Dólar","0,5740","0,5745","0,5744","0,5738","0,0001","0,02%","20:18:04"
"Dólar/ZAR","16,3900","16,4171","16,4038","16,3843","0,0146","0,09%","20:18:00"
"Dólar/TRY","43,1353","43,1799","43,1850","43,1561","0,0084","0,02%","20:11:32"
"Dólar/MXN","17,8081","17,8381","17,8362","17,8177","-0,0010","-0,01%","20:18:32"
"Dólar/PLN","3,6142","3,6217","3,6188","3,6173","0,0003","0,01%","20:16:07"
"Dólar/SEK","9,2193","9,2253","9,2267","9,2215","-0,0021","-0,02%","20:18:33"
"Dólar/SGD","1,2885","1,2891","1,2893","1,2881","0,0008","0,06%","20:18:26"
"Dólar/DKK","6,4159","6,4172","6,4208","6,4125","-0,0009","-0,01%","20:18:29"
"Dólar/NOK","10,0790","10,0940","10,0935","10,0838","0,0021","0,02%","20:13:56"
"Dólar/ILS","3,1467","3,1553","3,1510","3,1502","0,0031","0,10%","19:00:53"
"Dólar/HUF","331,35","332,06","332,03","331,69","0,05","0,02%","20:17:34"
"Dólar/CZK","20,7541","20,8641","20,8172","20,8062","-0,0029","-0,01%","20:15:52"
"Dólar/THB","31,489","31,524","31,508","31,474","0,017","0,05%","20:14:00"
"Dólar/AED","3,6715","3,6735","3,6730","3,6725","-0,0005","-0,01%","20:15:41"
"Dólar/JOD","0,7080","0,7100","0,7090","0,7090","0,0000","0,00%","20:09:56"
"Dólar/KWD","0,3074","0,3084","0,3079","0,3079","0,0000","0,00%","20:13:41"
"Dólar/HKD","7,7999","7,8032","7,8021","7,8006","0,0012","0,02%","20:15:31"
"Dólar/SAR","3,7457","3,7544","3,7503","3,7499","0,0000","0,00%","20:13:41"
"Dólar/INR","90,258","90,298","90,278","90,278","0,000","0,00%","19:00:11"
"Dólar/KRW","1.474,05","1.474,17","1.475,57","1.474,11","-0,96","-0,07%","19:22:37"
"BRL/Dólar","0,1860","0,1861","0,1860","0,1860","0,0000","0,00%","20:17:28"
"CAD/Dólar","0,7201","0,7202","0,7203","0,7199","0,0002","0,03%","20:17:28"
"CHF/Dólar","1,2484","1,2486","1,2488","1,2483","0,0002","0,02%","20:17:28"
"FJD/Dólar","0,4299","0,4469","0,4384","0,4384","0,0000","0,00%","20:09:20"
"GHS/Dólar","0,0928","0,0930","0,0929","0,0929","0,0000","0,00%","20:13:27"
"JPY/Dólar","0,628259","0,628378","0,628576","0,628220","0,000078","0,01%","20:17:28"
"KYD/Dólar","1,1976","1,2085","1,2031","1,2031","0,0000","0,00%","19:44:18"
"SGD/Dólar","0,7757","0,7761","0,7763","0,7759","-0,0003","-0,04%","20:13:27"
"Dólar/ALL","82,620","83,210","82,925","82,910","0,275","0,33%","20:09:59"
"Dólar/AMD","380,83","380,83","380,83","380,83","0,00","0,00%","20:13:41"
"Dólar/ARS","1.458,4941","1.458,5042","1.458,9077","1.457,9067","-0,0761","-0,01%","20:17:41"
"Dólar/AUD","1,4950","1,4954","1,4967","1,4951","-0,0015","-0,10%","20:15:28"
"Dólar/BBD","1,9716","2,0573","2,0144","2,0144","0,0000","0,00%","20:13:41"
"Dólar/BDT","121,700","122,700","122,200","122,200","0,000","0,00%","19:00:11"
"Dólar/BGN","1,6567","1,6767","1,6667","1,6667","0,0000","0,00%","19:00:11"
"Dólar/BHD","0,3769","0,3772","0,3770","0,3770","0,0000","0,00%","20:09:59"
"Dólar/BIF","2.948,17","2.972,17","2.960,17","2.960,17","0,00","0,00%","19:00:11"
"Dólar/BND","1,2881","1,2893","1,2887","1,2885","0,0007","0,05%","20:10:00"
"Dólar/BOB","6,7396","7,0824","6,9110","6,9110","0,0000","0,00%","20:17:41"
"Dólar/BRL","5,3740","5,3770","5,3755","5,3755","0,0000","0,00%","19:00:11"
"Dólar/BSD","0,9942","1,0062","1,0002","1,0002","0,0000","0,00%","20:13:41"
"Dólar/BWP","13,8889","14,1044","13,9967","13,8916","0,2981","2,18%","20:09:14"
"Dólar/BZD","1,9687","2,0544","2,0115","2,0115","0,0000","0,00%","20:13:41"
"Dólar/CLP","885,40","886,79","886,71","886,10","0,09","0,01%","19:21:28"
"Dólar/CNY","6,9775","6,9785","6,9780","6,9780","0,0000","0,00%","19:00:11"
"Dólar/COP","3.684,86","3.688,36","3.688,62","3.685,10","1,51","0,04%","20:17:41"
"Dólar/CRC","493,41","500,00","496,71","496,71","0,00","0,00%","20:09:51"
"Dólar/CUP","23,9776","24,0290","24,0033","24,0033","0,0000","0,00%","20:13:41"
"Dólar/DJF","177,60","178,55","178,08","178,08","0,00","0,00%","20:09:50"
"Dólar/DOP","63,400","63,900","63,650","63,650","0,000","0,00%","20:13:41"
"Dólar/DZD","129,460","130,755","130,116","130,108","0,635","0,49%","20:09:56"
"Dólar/EGP","47,0500","47,1500","47,1000","47,1000","0,0000","0,00%","19:00:11"
"Dólar/ETB","155,2500","156,0000","155,6250","155,6250","0,0000","0,00%","20:13:41"
"Dólar/EUR","0,8587","0,8588","0,8589","0,8587","-0,0002","-0,02%","20:17:28"
"Dólar/FJD","2,2376","2,3261","2,2819","2,2819","0,0000","0,00%","20:09:20"
"Dólar/GBP","0,7449","0,7449","0,7451","0,7448","-0,0002","-0,03%","20:13:27"
"Dólar/GEL","2,6650","2,7260","2,6955","2,6955","0,0000","0,00%","20:09:57"
"Dólar/GHS","10,7500","10,7800","10,7650","10,7650","0,0000","0,00%","20:13:41"
"Dólar/GMD","73,4000","74,5000","73,9500","73,9500","0,0000","0,00%","20:09:51"
"Dólar/GNF","8.706,00","8.800,00","8.753,00","8.753,00","0,00","0,00%","20:09:52"
"Dólar/GTQ","7,6600","7,6750","7,6675","7,6675","0,0000","0,00%","20:09:52"
"Dólar/HNL","26,3535","26,4000","26,3768","26,3768","0,0000","0,00%","20:09:55"
"Dólar/HTG","130,121","131,836","130,979","130,979","0,000","0,00%","20:13:41"
"Dólar/IDR","16.854,3","16.857,8","16.856,4","16.852,4","21,3","0,13%","20:12:25"
"Dólar/IQD","1.308,00","1.312,00","1.310,00","1.310,00","0,00","0,00%","20:13:41"
"Dólar/IRR","1.055.000,00","1.130.000,00","1.092.500,00","1.092.500,00","0,00","0,00%","20:15:41"
"Dólar/ISK","125,760","126,030","125,910","125,890","0,125","0,10%","20:09:57"
"Dólar/JMD","156,585","159,671","158,128","158,128","0,000","0,00%","20:13:41"
"Dólar/KES","128,850","129,150","129,000","129,000","0,000","0,00%","19:00:11"
"Dólar/KHR","4.023,00","4.036,00","4.029,50","4.029,50","0,00","0,00%","20:13:41"
"Dólar/KMF","422,000","424,000","423,000","423,000","0,000","0,00%","20:13:41"
"Dólar/KZT","509,000","510,020","509,510","509,510","0,000","0,00%","19:00:11"
"Dólar/LAK","21.480,00","21.725,00","21.602,50","21.602,50","0,00","0,00%","20:13:41"
"Dólar/LBP","89.500,00","89.600,00","89.550,00","89.550,00","0,00","0,00%","20:13:41"
"Dólar/LKR","309,100","309,150","309,125","309,125","0,000","0,00%","19:00:11"
"Dólar/LSL","16,3947","16,3976","16,3999","16,3933","0,0215","0,13%","20:09:58"
"Dólar/LYD","5,4000","5,4500","5,4250","5,4250","0,0000","0,00%","20:13:41"
"Dólar/MAD","9,2064","9,2114","9,2113","9,2012","-0,0011","-0,01%","20:09:59"
"Dólar/MDL","16,8800","16,9800","16,9300","16,9300","0,0000","0,00%","19:00:11"
"Dólar/MGA","4.540,00","4.570,00","4.555,00","4.555,00","0,00","0,00%","20:13:41"
"Dólar/MKD","52,600","53,040","52,820","52,820","0,000","0,00%","19:00:11"
"Dólar/MMK","3.227,470","3.268,452","2.100,000","2.100,000","0,000","0,00%","19:00:11"
"Dólar/MOP","8,0250","8,0350","8,0300","8,0300","0,0000","0,00%","19:00:11"
"Dólar/MRU","39,860","39,980","39,920","39,920","0,000","0,00%","20:09:53"
"Dólar/MUR","45,710","47,710","46,710","46,700","0,010","0,02%","20:13:41"
"Dólar/MVR","15,4200","15,5000","15,4600","15,4600","0,0000","0,00%","20:09:57"
"Dólar/MWK","1.717,020","1.750,320","1.733,670","1.733,670","0,000","0,00%","19:00:11"
"Dólar/MYR","4,0550","4,0600","4,0575","4,0575","0,0000","0,00%","19:00:11"
"Dólar/NAD","16,3947","16,3976","16,3999","16,3933","0,0004","0,00%","20:09:58"
"Dólar/NGN","1.420,982","1.423,008","1.421,995","1.421,985","0,885","0,06%","19:38:49"
"Dólar/NIO","36,5500","37,0000","36,7750","36,7750","0,0000","0,00%","20:17:41"
"Dólar/NPR","142,963","145,877","144,420","144,420","0,000","0,00%","20:13:41"
"Dólar/NZD","1,7410","1,7416","1,7432","1,7413","-0,0019","-0,11%","20:17:41"
"Dólar/OMR","0,3849","0,3851","0,3850","0,3850","0,0000","0,00%","20:10:00"
"Dólar/PAB","0,9788","1,0217","1,0003","1,0003","0,0000","0,00%","20:13:41"
"Dólar/PEN","3,3590","3,3600","3,3595","3,3595","0,0000","0,00%","20:17:41"
"Dólar/PGK","4,1930","4,3390","4,2660","4,2660","0,0000","0,00%","20:13:41"
"Dólar/PHP","59,401","59,421","59,491","59,400","-0,080","-0,13%","20:13:41"
"Dólar/PKR","279,710","280,210","279,960","279,960","0,000","0,00%","20:13:41"
"Dólar/PYG","6.507,35","6.730,21","6.618,78","6.618,78","0,00","0,00%","20:13:41"
"Dólar/QAR","3,6395","3,6430","3,6413","3,6413","-0,0001","0,00%","20:13:41"
"Dólar/RON","4,3700","4,3743","4,3733","4,3717","0,0023","0,05%","20:14:16"
"Dólar/RSD","100,309","101,309","100,818","100,746","0,037","0,04%","20:13:41"
"Dólar/RUB","77,2570","80,2286","78,7428","78,7428","0,0000","0,00%","19:00:11"
"Dólar/RWF","1.448,000","1.468,000","1.458,000","1.458,000","0,000","0,00%","20:13:41"
"Dólar/SCR","13,6472","15,3645","14,7500","14,5058","-0,2442","-1,66%","20:13:41"
"Dólar/SDG","598,0000","605,0000","601,5000","601,5000","0,0000","0,00%","20:13:41"
"Dólar/SOS","568,00","575,00","571,50","571,50","0,00","0,00%","20:13:41"
"Dólar/STN","21,0390","21,4702","21,2574","21,2546","0,2156","1,02%","20:09:30"
"Dólar/SVC","8,5455","8,9569","8,7512","8,7512","0,0000","0,00%","20:13:41"
"Dólar/SYP","110,550","120,550","115,550","115,550","0,000","0,00%","19:00:11"
"Dólar/SZL","16,4000","16,4200","16,4100","16,4100","0,0000","0,00%","20:13:41"
"Dólar/TND","2,8800","2,9150","2,8975","2,8975","0,0000","0,00%","20:13:41"
"Dólar/TTD","6,6651","6,9222","6,7936","6,7936","0,0000","0,00%","20:13:41"
"Dólar/TWD","31,616","31,646","31,633","31,627","0,001","0,00%","20:17:41"
"Dólar/TZS","2.504,85","2.504,88","2.504,87","2.504,87","0,00","0,00%","20:13:41"
"Dólar/UAH","42,8799","43,3941","43,1370","43,1370","0,0000","0,00%","20:13:41"
"Dólar/UGX","3.527,10","3.604,24","3.565,67","3.565,67","0,00","0,00%","20:13:41"
"Dólar/UYU","38,3285","39,3570","38,8428","38,8428","0,0000","0,00%","20:17:41"
"Dólar/UZS","12.040,00","12.090,00","12.065,00","12.065,00","0,00","0,00%","20:13:41"
"Dólar/VES","329,5419","330,3751","329,9621","329,9585","-0,0036","0,00%","20:13:41"
"Dólar/VND","26.285,8","26.289,3","26.287,5","26.287,5","0,0","0,00%","19:00:11"
"Dólar/VUV","119,360","119,960","119,660","119,660","0,000","0,00%","19:00:11"
"Dólar/XAF","562,223","562,223","562,223","562,223","0,000","0,00%","20:13:41"
"Dólar/XCD","2,6900","2,7200","2,7050","2,7050","0,0000","0,00%","20:09:32"
"Dólar/XOF","560,000","565,000","562,500","562,500","0,000","0,00%","20:13:41"
"Dólar/XPF","102,400","103,100","102,750","102,750","0,000","0,00%","20:13:41"
"Dólar/YER","238,000","238,800","238,400","238,400","0,000","0,00%","20:13:41"
"Dólar/ZMW","19,44","19,52","19,48","19,48","0,00","0,00%","20:13:41"
"AED/Dólar","0,2722","0,2724","0,2723","0,2723","0,0000","0,00%","20:14:41"
"ARS/Dólar","0,000686","0,000686","0,000686","0,000686","0,000000","0,00%","20:13:27"
"CNY/Dólar","0,1433","0,1433","0,1433","0,1433","0,0000","0,00%","20:17:28"
"DKK/Dólar","0,1558","0,1558","0,1559","0,1558","0,0000","0,00%","20:13:27"
"HKD/Dólar","0,1282","0,1282","0,1282","0,1282","0,0000","0,00%","20:13:27"
"ILS/Dólar","0,3169","0,3178","0,3174","0,3174","0,0000","0,00%","20:13:27"
"MXN/Dólar","0,05606","0,05615","0,05611","0,05607","0,00004","0,06%","20:15:28"
"NOK/Dólar","0,0991","0,0992","0,0992","0,0991","0,0000","0,00%","20:13:27"
"PLN/Dólar","0,2761","0,2767","0,2764","0,2763","0,0000","0,00%","20:13:27"
"RUB/Dólar","0,01246","0,01294","0,01270","0,01270","0,00000","0,00%","20:13:27"
"SAR/Dólar","0,2664","0,2670","0,2667","0,2666","0,0000","0,00%","20:13:27"
"SEK/Dólar","0,1084","0,1084","0,1084","0,1084","0,0000","0,00%","20:13:27"
"TRY/Dólar","0,0232","0,0232","0,0232","0,0232","0,0000","0,00%","20:13:27"
"TWD/Dólar","0,03160","0,03163","0,03162","0,03161","-0,00001","-0,02%","20:13:27"
"VES/Dólar","0,00303","0,00303","0,00303","0,00303","0,00000","0,00%","20:13:27"
"ZAR/Dólar","0,06092","0,06101","0,06101","0,06097","0,00000","0,00%","20:13:27"
"UYU/Dólar","0,02541","0,02609","0,02575","0,02575","0,00000","0,00%","20:13:27"
"PYG/Dólar","0,000149","0,000154","0,000151","0,000151","0,000000","0,00%","20:13:27"
"CLP/Dólar","0,001128","0,001129","0,001129","0,001128","0,000001","0,05%","20:13:27"
"COP/Dólar","0,027112","0,027138","0,027136","0,027111","-0,000011","-0,04%","20:13:27"
"PEN/Dólar","0,2976","0,2977","0,2977","0,2977","0,0000","0,00%","20:13:27"
"NIO/Dólar","0,02703","0,02736","0,02719","0,02719","0,00000","0,00%","20:13:27"
"BOB/Dólar","0,1412","0,1484","0,1448","0,1448","0,0000","0,00%","20:13:27"
"KRW/Dólar","0,678350","0,678400","0,678375","0,677705","0,000670","0,10%","20:15:28"
"EGP/Dólar","0,02121","0,02125","0,02123","0,02123","0,00000","0,00%","20:13:27"
"Dólar/BYN","2,9114","2,9200","2,9157","2,9157","0,0000","0,00%","20:13:41"
"Dólar/MZN","63,27","64,54","63,91","63,91","0,00","0,00%","20:09:14"
"INR/Dólar","1,1074","1,1079","1,1077","1,1077","0,0000","0,00%","20:17:28"
"JOD/Dólar","1,4085","1,4124","1,4104","1,4104","0,0000","0,00%","20:09:56"
"KWD/Dólar","3,2432","3,2523","3,2477","3,2477","0,0000","0,00%","20:13:27"
"Dólar/AZN","1,6950","1,7050","1,7000","1,7000","0,0000","0,00%","20:09:47"
"Dólar/CNH","6,9736","6,9763","6,9750","6,9732","0,0030","0,04%","20:10:00"
"Dólar/KGS","87,4490","87,4490","87,4490","87,4490","0,0000","0,00%","20:13:41"
"Dólar/TJS","9,2093","9,4236","9,3164","9,3164","0,0000","0,00%","20:13:41"
"Dólar/RUB","77,2570","80,2286","79,0737","77,8582","0,8846","1,14%","19:00:11"
"Dólar/BRL","5,8125","5,8131","5,3757","5,3757","0,0053","0,10%","19:00:11"
"Dólar/JPY","117,31","117,31","117,31","117,31","0,00","0,00%","19:00:11"
"Dólar/CHF","0,9349","0,9349","0,9349","0,9349","0,0000","0,00%","19:00:11"
"MYR/Dólar","0,2463","0,2466","0,2465","0,2465","0,0000","0,00%","20:13:27"
"UAH/Dólar","0,02304","0,02332","0,02318","0,02318","0,00000","0,00%","20:13:27"
"HUF/Dólar","0,003011","0,003017","0,003014","0,003012","0,000001","0,04%","20:13:27"
"IDR/Dólar","0,05932000","0,05933000","0,05934000","0,05932500","0,00000000","0,00%","20:13:27"
"Dólar/AOA","911,968","925,368","918,668","918,668","0,000","0,00%","19:00:11"
"VND/Dólar","0,38040000","0,38040000","0,38040000","0,38040000","0,00000000","0,00%","20:13:27"
"BYN/Dólar","0,3425","0,3435","0,3430","0,3430","0,0000","0,00%","20:13:27"
"XBR/Dólar","64,88","65,17","65,47","63,47","1,13","1,77%","19:00:11"
"THB/Dólar","0,031723","0,031757","0,031770","0,031740","-0,000006","-0,02%","20:13:27"
"PHP/Dólar","0,01682907","0,01683473","0,01683507","0,01680945","0,00002245","0,13%","20:13:27"
"Dólar/TMT","3,3500","3,6500","3,5000","3,5000","0,0000","0,00%","20:13:41"
"Dólar/Dólar Turismo","5,240","5,570","5,410","5,390","0,005","0,09%","19:00:11"
"Dólar/Tugrik","3.560,00","3.566,00","3.563,00","3.563,00","0,00","0,00%","19:00:11"
"Dólar/AFN","64,0000","67,0000","65,5000","65,5000","0,0000","0,00%","20:13:41"
"AFN/Dólar","0,0150","0,0150","0,0150","0,0150","0,0000","0,00%","20:13:27"
"SYP/Dólar","0,00865316","0,00865465","0,00865649","0,00865239","0,00000152","0,02%","20:13:27"
"IQD/Dólar","0,000749","0,000779","0,000764","0,000764","0,000000","0,00%","20:13:41"
"Dólar/NGN","357,00","360,00","1.480,00","1.480,00","0,00","0,00%","19:00:11"
"Dólar/ZiGl","25,074","26,360","25,717","25,717","0,000","0,00%","19:00:11"
"CZK/Dólar","0,0480","0,0481","0,0481","0,0480","0,0001","0,11%","20:13:41"
"Dólar/ARSB","388,00","392,00","1.495,00","1.495,00","0,00","0,00%","19:00:11"
"ANG/Dólar","0,5446","0,5734","0,5590","0,5590","0,0000","0,00%","20:13:27"
"Dólar/CDF","2.130,0000","2.170,0000","2.150,0000","2.150,0000","0,0000","0,00%","19:00:11"